,head,relation,tail
1312,00923995,_derivationally_related_form,01658188
1313,00923995,_hypernym,00912960
1314,00925873,_hypernym,00633443
1315,00927017,_derivationally_related_form,02603699
1316,00927017,_derivationally_related_form,13954253
1317,00927261,_hypernym,00908492
1318,00927430,_derivationally_related_form,07162680
1319,00928630,_derivationally_related_form,06252954
1320,00929718,_derivationally_related_form,10794014
1321,00931040,_derivationally_related_form,00116619
1322,00931040,_derivationally_related_form,01634424
1323,00931040,_derivationally_related_form,01635176
1324,00931040,_hypernym,00929718
1325,00931852,_derivationally_related_form,05919866
1326,00931852,_derivationally_related_form,06601327
1327,00932324,_derivationally_related_form,06601327
1328,00932324,_hypernym,00955148
1329,00932324,_verb_group,00931852
1330,00933821,_derivationally_related_form,07213395
1331,00933821,_derivationally_related_form,07214432
1332,00937656,_derivationally_related_form,01256600
1333,00938247,_derivationally_related_form,00100543
1334,00938247,_derivationally_related_form,05766247
1335,00938247,_derivationally_related_form,05928513
1336,00938247,_derivationally_related_form,07170753
1337,00940412,_derivationally_related_form,01634424
1338,00940412,_hypernym,00927261
1339,00940709,_hypernym,00940412
1340,00940842,_derivationally_related_form,00925873
1341,00940842,_derivationally_related_form,00980453
1342,00940842,_derivationally_related_form,01633343
1343,00940842,_hypernym,00927261
1344,00941974,_derivationally_related_form,01309701
1345,00941974,_derivationally_related_form,01311103
1346,00941974,_derivationally_related_form,01313923
1347,00941974,_derivationally_related_form,02143539
1348,00941974,_hypernym,00941777
1349,00941990,_also_see,00916123
1350,00941990,_also_see,01051956
1351,00941990,_derivationally_related_form,05301908
1352,00941990,_derivationally_related_form,07080868
1353,00941990,_derivationally_related_form,07129867
1354,00941990,_derivationally_related_form,07139316
1355,00941990,_derivationally_related_form,10630188
1356,00941990,_verb_group,00943281
1357,00943281,_hypernym,00941990
1358,00943281,_verb_group,00941990
1359,00943563,_hypernym,00941990
1360,00947077,_derivationally_related_form,05124057
1361,00947077,_derivationally_related_form,05692419
1362,00947077,_derivationally_related_form,06199702
1363,00947077,_hypernym,00674607
1364,00947128,_derivationally_related_form,01158872
1365,00947128,_hypernym,00407535
1366,00949134,_derivationally_related_form,01158872
1367,00949134,_derivationally_related_form,02707429
1368,00949134,_hypernym,00947128
1369,00950431,_derivationally_related_form,05822746
1370,00952963,_hypernym,01080366
1371,00952963,_synset_domain_topic_of,08199025
1372,00953559,_derivationally_related_form,01092366
1373,00953559,_derivationally_related_form,02376089
1374,00953559,_hypernym,00952963
1375,00953559,_synset_domain_topic_of,08199025
1376,00954311,_synset_domain_topic_of,08199025
1377,00954608,_derivationally_related_form,01101329
1378,00954608,_derivationally_related_form,10490699
1379,00955148,_derivationally_related_form,05919866
1380,00955148,_derivationally_related_form,06605897
1381,00955148,_hypernym,00928630
1382,00956687,_derivationally_related_form,04723816
1383,00956687,_derivationally_related_form,05849284
1384,00956687,_derivationally_related_form,06694796
1385,00956687,_hypernym,00609683
1386,00958896,_derivationally_related_form,01090335
1387,00958896,_derivationally_related_form,01092366
1388,00959376,_derivationally_related_form,01079480
1389,00959376,_derivationally_related_form,01123765
1390,00960851,_derivationally_related_form,01115916
1391,00960851,_hypernym,00954311
1392,00961001,_derivationally_related_form,01131197
1393,00961001,_derivationally_related_form,01506157
1394,00962447,_derivationally_related_form,07139316
1395,00962447,_hypernym,00740577
1396,00963452,_derivationally_related_form,04838210
1397,00963452,_hypernym,00962447
1398,00964343,_hypernym,00953559
1399,00964343,_synset_domain_topic_of,08199025
1400,00965035,_derivationally_related_form,06738281
1401,00965035,_hypernym,00831651
1402,00968211,_derivationally_related_form,00367976
1403,00968211,_derivationally_related_form,05088324
1404,00968211,_derivationally_related_form,06253140
1405,00968211,_derivationally_related_form,06253518
1406,00968211,_derivationally_related_form,06254007
1407,00968211,_derivationally_related_form,06619428
1408,00968211,_derivationally_related_form,07250339
1409,00968211,_derivationally_related_form,07445896
1410,00968211,_hypernym,00954608
1411,00968211,_verb_group,00969873
1412,00969873,_derivationally_related_form,05088324
1413,00969873,_derivationally_related_form,07445896
1414,00969873,_hypernym,01835496
1415,00969873,_verb_group,00968211
1416,00971650,_derivationally_related_form,00874067
1417,00971650,_derivationally_related_form,06727616
1418,00971650,_derivationally_related_form,07272172
1419,00971650,_hypernym,00822367
1420,00972621,_derivationally_related_form,01118449
1421,00972621,_synset_domain_topic_of,08199025
1422,00976487,_derivationally_related_form,10482220
1423,00976653,_derivationally_related_form,07247071
1424,00976653,_derivationally_related_form,09773962
1425,00976653,_derivationally_related_form,10482220
1426,00976653,_hypernym,00856824
1427,00976653,_verb_group,02589576
1428,00980453,_derivationally_related_form,00940842
1429,00980779,_derivationally_related_form,01506157
1430,00981083,_derivationally_related_form,06732013
1431,00981083,_hypernym,00980453
1432,00989602,_derivationally_related_form,06891022
1433,00991838,_derivationally_related_form,05268965
1434,00992041,_derivationally_related_form,00334509
1435,00996969,_derivationally_related_form,00647094
1436,00996969,_derivationally_related_form,00681429
1437,00996969,_hypernym,00407535
1438,00999787,_derivationally_related_form,00922867
1439,01001689,_also_see,01824244
1440,01002956,_derivationally_related_form,00732552
1441,01002956,_hypernym,00996969
1442,01004582,_derivationally_related_form,00922867
1443,01008378,_derivationally_related_form,00710005
1444,01008378,_hypernym,00407535
1445,01008801,_derivationally_related_form,00710005
1446,01008801,_hypernym,00939628
1447,01008947,_derivationally_related_form,00239230
1448,01009240,_derivationally_related_form,07203126
1449,01009240,_derivationally_related_form,10345804
1450,01012073,_hypernym,01011725
1451,01012712,_derivationally_related_form,00654625
1452,01012712,_hypernym,01012360
1453,01014066,_derivationally_related_form,01380638
1454,01014066,_derivationally_related_form,02304982
1455,01014066,_hypernym,01012360
1456,01014990,_derivationally_related_form,00158804
1457,01014990,_derivationally_related_form,01316619
1458,01014990,_derivationally_related_form,01380638
1459,01014990,_hypernym,01014066
1460,01015244,_derivationally_related_form,06643408
1461,01015244,_hypernym,00831651
1462,01015244,_synset_domain_topic_of,08441203
1463,01016316,_synset_domain_topic_of,08441203
1464,01016832,_derivationally_related_form,00654625
1465,01016832,_hypernym,01012360
1466,01017320,_derivationally_related_form,01217043
1467,01017987,_derivationally_related_form,00781000
1468,01017987,_derivationally_related_form,01995549
1469,01017987,_derivationally_related_form,02684924
1470,01017987,_derivationally_related_form,02747709
1471,01017987,_hypernym,00407535
1472,01018928,_derivationally_related_form,05822746
1473,01021420,_derivationally_related_form,00550282
1474,01021420,_hypernym,00805376
1475,01022008,_derivationally_related_form,02375131
1476,01022008,_hypernym,01017987
1477,01023820,_derivationally_related_form,01668603
1478,01023820,_hypernym,00407535
1479,01026975,_derivationally_related_form,00798245
1480,01026975,_derivationally_related_form,05922651
1481,01026975,_derivationally_related_form,06197664
1482,01026975,_hypernym,00955148
1483,01027668,_derivationally_related_form,06782019
1484,01031256,_derivationally_related_form,10578762
1485,01031256,_hypernym,02232190
1486,01035530,_derivationally_related_form,07175241
1487,01038666,_hypernym,00964694
1488,01039162,_hypernym,01038666
1489,01040707,_derivationally_related_form,06721949
1490,01041762,_derivationally_related_form,05978623
1491,01041762,_hypernym,00792471
1492,01046984,_derivationally_related_form,00022686
1493,01049685,_derivationally_related_form,01130169
1494,01061320,_hypernym,00742320
1495,01061320,_verb_group,01449974
1496,01062817,_derivationally_related_form,00779061
1497,01063697,_derivationally_related_form,02559752
1498,01063697,_hypernym,01062817
1499,01064560,_derivationally_related_form,07159791
1500,01070102,_derivationally_related_form,00033020
1501,01070102,_derivationally_related_form,06252138
1502,01070102,_derivationally_related_form,09610660
1503,01070102,_hypernym,02376958
1504,01072262,_derivationally_related_form,00512487
1505,01072262,_derivationally_related_form,01168569
1506,01072949,_derivationally_related_form,00557588
1507,01072949,_derivationally_related_form,10439851
1508,01072949,_derivationally_related_form,15256915
1509,01072949,_hypernym,01072262
1510,01072949,_verb_group,01079480
1511,01073995,_hypernym,00030358
1512,01074498,_derivationally_related_form,01476483
1513,01074498,_hypernym,01073995
1514,01074694,_derivationally_related_form,01147060
1515,01074694,_derivationally_related_form,01345109
1516,01074694,_derivationally_related_form,01423285
1517,01074694,_derivationally_related_form,01476483
1518,01074694,_derivationally_related_form,01478002
1519,01074694,_derivationally_related_form,01478423
1520,01074694,_derivationally_related_form,02145543
1521,01074694,_derivationally_related_form,02557199
1522,01074694,_hypernym,01074498
1523,01076615,_derivationally_related_form,00166172
1524,01076615,_derivationally_related_form,15292069
1525,01076793,_also_see,00561036
1526,01076793,_also_see,01244410
1527,01076793,_also_see,02531422
1528,01076793,_derivationally_related_form,04657876
1529,01077350,_derivationally_related_form,02450505
1530,01077350,_hypernym,01073995
1531,01077887,_derivationally_related_form,00239230
1532,01077887,_hypernym,01076615
1533,01078783,_derivationally_related_form,01169744
1534,01078783,_derivationally_related_form,04838210
1535,01079172,_derivationally_related_form,03398467
1536,01079172,_derivationally_related_form,08573472
1537,01079172,_hypernym,01078783
1538,01079480,_derivationally_related_form,07467846
1539,01079480,_verb_group,01072949
1540,01079480,_verb_group,01079873
1541,01079873,_derivationally_related_form,00557588
1542,01079873,_hypernym,01158872
1543,01079873,_verb_group,01079480
1544,01079873,_verb_group,01149470
1545,01080064,_hypernym,01158872
1546,01080064,_verb_group,01149470
1547,01080366,_hypernym,00030358
1548,01082454,_derivationally_related_form,09901143
1549,01082454,_hypernym,01072949
1550,01082454,_synset_domain_topic_of,00471613
1551,01082454,_verb_group,01439190
1552,01082606,_derivationally_related_form,10401829
1553,01082606,_derivationally_related_form,13924659
1554,01083077,_derivationally_related_form,01378556
1555,01088381,_hypernym,01098869
1556,01090335,_derivationally_related_form,00446493
1557,01090335,_derivationally_related_form,00953559
1558,01090335,_derivationally_related_form,00958896
1559,01090335,_derivationally_related_form,01170962
1560,01090335,_derivationally_related_form,03335030
1561,01090335,_derivationally_related_form,09939313
1562,01091427,_derivationally_related_form,01169744
1563,01091427,_derivationally_related_form,03335030
1564,01091427,_derivationally_related_form,07184391
1565,01091427,_derivationally_related_form,09773245
1566,01091427,_hypernym,01090335
1567,01092366,_derivationally_related_form,00953559
1568,01092366,_derivationally_related_form,00958896
1569,01092366,_derivationally_related_form,01170962
1570,01092366,_derivationally_related_form,09939313
1571,01092366,_hypernym,01090335
1572,01097960,_derivationally_related_form,00045646
1573,01097960,_derivationally_related_form,01156438
1574,01097960,_derivationally_related_form,01230283
1575,01097960,_derivationally_related_form,07169353
1576,01098869,_derivationally_related_form,08199025
1577,01098869,_hypernym,00126264
1578,01100145,_derivationally_related_form,10782940
1579,01101329,_derivationally_related_form,00954608
1580,01101329,_hypernym,01094725
1581,01104637,_derivationally_related_form,01685601
1582,01105259,_hypernym,01094725
1583,01106864,_derivationally_related_form,05143690
1584,01111816,_derivationally_related_form,00043902
1585,01115349,_also_see,01932973
1586,01115916,_derivationally_related_form,00960851
1587,01115916,_derivationally_related_form,03327841
1588,01115916,_derivationally_related_form,03328076
1589,01115916,_derivationally_related_form,03328201
1590,01115916,_hypernym,01091427
1591,01115916,_verb_group,02702120
1592,01118449,_derivationally_related_form,00972621
1593,01118449,_derivationally_related_form,01237167
1594,01118449,_hypernym,02367363
1595,01119169,_derivationally_related_form,00972621
1596,01119169,_derivationally_related_form,09821253
1597,01119169,_hypernym,01090335
1598,01119169,_verb_group,01118449
1599,01120069,_derivationally_related_form,00767826
1600,01120069,_derivationally_related_form,00773402
1601,01120069,_derivationally_related_form,00773814
1602,01120069,_derivationally_related_form,09821253
1603,01123598,_hypernym,01080366
1604,01123765,_derivationally_related_form,00959376
1605,01123765,_derivationally_related_form,10605848
1606,01123765,_hypernym,01090335
1607,01125429,_also_see,01613463
1608,01126360,_derivationally_related_form,10214062
1609,01126360,_hypernym,01119169
1610,01126961,_derivationally_related_form,02853218
1611,01127075,_derivationally_related_form,02796412
1612,01127075,_hypernym,01476483
1613,01127215,_derivationally_related_form,02796412
1614,01127215,_derivationally_related_form,04096848
1615,01127245,_derivationally_related_form,02504562
1616,01127245,_hypernym,01127019
1617,01127795,_hypernym,02450505
1618,01128193,_derivationally_related_form,00817680
1619,01128193,_derivationally_related_form,01887076
1620,01128193,_hypernym,01127795
1621,01129876,_derivationally_related_form,08064130
1622,01129876,_derivationally_related_form,09614684
1623,01129876,_hypernym,01128193
1624,01129920,_derivationally_related_form,02506546
1625,01129920,_hypernym,01123598
1626,01130169,_derivationally_related_form,01049685
1627,01130169,_derivationally_related_form,02851099
1628,01130169,_derivationally_related_form,04152387
1629,01130169,_derivationally_related_form,04192698
1630,01130169,_derivationally_related_form,09614684
1631,01130169,_hypernym,01128193
1632,01130455,_hypernym,01128193
1633,01131197,_derivationally_related_form,00170156
1634,01131197,_hypernym,01091427
1635,01131473,_derivationally_related_form,01147451
1636,01131473,_derivationally_related_form,05986948
1637,01135952,_synset_domain_topic_of,01094725
1638,01136519,_derivationally_related_form,00404642
1639,01136519,_derivationally_related_form,01651444
1640,01136519,_derivationally_related_form,02432530
1641,01136519,_derivationally_related_form,02448185
1642,01136519,_hypernym,01135952
1643,01138670,_derivationally_related_form,00803325
1644,01144133,_derivationally_related_form,00704690
1645,01145359,_derivationally_related_form,02422663
1646,01145359,_hypernym,00803617
1647,01146576,_derivationally_related_form,02495038
1648,01146918,_hypernym,01090335
1649,01147060,_derivationally_related_form,00562398
1650,01147060,_derivationally_related_form,01074694
1651,01147060,_hypernym,01146918
1652,01147451,_derivationally_related_form,01131473
1653,01147451,_hypernym,01145359
1654,01149138,_derivationally_related_form,09614684
1655,01149138,_derivationally_related_form,10677713
1656,01149138,_hypernym,02453889
1657,01152396,_derivationally_related_form,00125629
1658,01156438,_derivationally_related_form,00270215
1659,01156438,_derivationally_related_form,01097960
1660,01158872,_derivationally_related_form,00947128
1661,01158872,_derivationally_related_form,05148699
1662,01158872,_derivationally_related_form,10741590
1663,01160031,_also_see,01628302
1664,01165692,_derivationally_related_form,02348324
1665,01165692,_derivationally_related_form,02348568
1666,01165692,_hypernym,01146576
1667,01167710,_hypernym,00958896
1668,01168569,_derivationally_related_form,01072262
1669,01168961,_derivationally_related_form,00869596
1670,01168961,_hypernym,01168569
1671,01169317,_derivationally_related_form,02583545
1672,01169317,_hypernym,01080366
1673,01169744,_derivationally_related_form,01078783
1674,01169744,_derivationally_related_form,01091427
1675,01169744,_derivationally_related_form,02742638
1676,01170175,_derivationally_related_form,02718543
1677,01170813,_derivationally_related_form,00775156
1678,01170813,_hypernym,01169317
1679,01170962,_derivationally_related_form,00775156
1680,01170962,_derivationally_related_form,01090335
1681,01170962,_derivationally_related_form,01092366
1682,01170962,_has_part,01173038
1683,01173038,_hypernym,00349369
1684,01173965,_derivationally_related_form,01230350
1685,01173965,_derivationally_related_form,01231652
1686,01173965,_derivationally_related_form,02062212
1687,01173965,_hypernym,01173038
1688,01175316,_derivationally_related_form,01575146
1689,01176431,_derivationally_related_form,00774344
1690,01176431,_hypernym,01170962
1691,01177033,_derivationally_related_form,00807461
1692,01177033,_derivationally_related_form,02521410
1693,01177033,_hypernym,01169317
1694,01179707,_derivationally_related_form,00695523
1695,01179707,_derivationally_related_form,01613463
1696,01180695,_also_see,02056880
1697,01180695,_also_see,02577061
1698,01184814,_derivationally_related_form,02372605
1699,01184814,_synset_domain_topic_of,08441203
1700,01194331,_derivationally_related_form,01468058
1701,01194331,_synset_domain_topic_of,08441203
1702,01194483,_derivationally_related_form,02170427
1703,01194483,_derivationally_related_form,04660536
1704,01194938,_derivationally_related_form,05268965
1705,01194938,_hypernym,00126264
1706,01198779,_derivationally_related_form,00836788
1707,01198779,_derivationally_related_form,03571155
1708,01198779,_hypernym,01198101
1709,01201089,_derivationally_related_form,05546040
1710,01205696,_derivationally_related_form,00124880
1711,01205696,_derivationally_related_form,00147454
1712,01205696,_derivationally_related_form,07339329
1713,01205696,_derivationally_related_form,07409592
1714,01205696,_derivationally_related_form,14419510
1715,01206218,_derivationally_related_form,00046522
1716,01206218,_derivationally_related_form,07409592
1717,01206218,_derivationally_related_form,10717589
1718,01206849,_derivationally_related_form,07409592
1719,01206849,_derivationally_related_form,10717589
1720,01206849,_hypernym,01206218
1721,01207951,_derivationally_related_form,02840619
1722,01207951,_derivationally_related_form,04151940
1723,01207951,_hypernym,01205696
1724,01207951,_verb_group,01332730
1725,01209953,_hypernym,01206218
1726,01210737,_derivationally_related_form,05565696
1727,01211019,_derivationally_related_form,02554922
1728,01211019,_hypernym,01210737
1729,01211098,_derivationally_related_form,05564590
1730,01211098,_hypernym,01226215
1731,01211339,_derivationally_related_form,02554922
1732,01212572,_derivationally_related_form,00812274
1733,01212572,_derivationally_related_form,00812526
1734,01212572,_hypernym,01214265
1735,01215392,_derivationally_related_form,00803815
1736,01217043,_derivationally_related_form,01017320
1737,01217043,_derivationally_related_form,04359589
1738,01217043,_derivationally_related_form,04360501
1739,01220636,_derivationally_related_form,03967942
1740,01220636,_hypernym,01422886
1741,01220984,_derivationally_related_form,02518161
1742,01220984,_hypernym,00407535
1743,01221790,_derivationally_related_form,01787955
1744,01221790,_derivationally_related_form,01789514
1745,01221790,_derivationally_related_form,01820901
1746,01222360,_also_see,01309991
1747,01222360,_also_see,02318464
1748,01222360,_derivationally_related_form,04871374
1749,01224031,_derivationally_related_form,01793177
1750,01224031,_hypernym,01220984
1751,01225783,_hypernym,01224031
1752,01226240,_derivationally_related_form,04868748
1753,01229938,_derivationally_related_form,02428924
1754,01229938,_derivationally_related_form,02598143
1755,01229938,_hypernym,01080366
1756,01229976,_derivationally_related_form,00135311
1757,01229976,_derivationally_related_form,00334935
1758,01229976,_derivationally_related_form,04007664
1759,01229976,_hypernym,01899262
1760,01230283,_derivationally_related_form,00270215
1761,01230283,_derivationally_related_form,01097960
1762,01230283,_hypernym,01229938
1763,01230350,_derivationally_related_form,01173965
1764,01230555,_derivationally_related_form,00135952
1765,01230555,_derivationally_related_form,00334935
1766,01230710,_derivationally_related_form,01261490
1767,01230710,_derivationally_related_form,10209246
1768,01230965,_hypernym,01229938
1769,01231252,_derivationally_related_form,04007664
1770,01231252,_hypernym,01871979
1771,01231652,_derivationally_related_form,03623556
1772,01231652,_derivationally_related_form,03624134
1773,01236164,_derivationally_related_form,00125629
1774,01236164,_derivationally_related_form,04337740
1775,01236164,_derivationally_related_form,07339329
1776,01236164,_derivationally_related_form,10178216
1777,01236164,_hypernym,01206218
1778,01236164,_verb_group,01410223
1779,01237167,_derivationally_related_form,01118449
1780,01237167,_hypernym,00964343
1781,01238424,_derivationally_related_form,00367685
1782,01239064,_derivationally_related_form,01082606
1783,01239064,_derivationally_related_form,02450256
1784,01239359,_derivationally_related_form,05548840
1785,01239359,_hypernym,01974062
1786,01239494,_derivationally_related_form,05579944
1787,01239494,_hypernym,01231252
1788,01241073,_derivationally_related_form,04007664
1789,01241073,_derivationally_related_form,07252378
1790,01241073,_hypernym,01230710
1791,01241767,_derivationally_related_form,00894738
1792,01244410,_also_see,00082241
1793,01244410,_also_see,01076793
1794,01244410,_also_see,01460421
1795,01244410,_also_see,02510879
1796,01244410,_derivationally_related_form,07547805
1797,01253060,_derivationally_related_form,00004605
1798,01253060,_derivationally_related_form,00105333
1799,01255967,_also_see,02467662
1800,01255967,_hypernym,01552519
1801,01256417,_derivationally_related_form,09623038
1802,01256417,_hypernym,00407535
1803,01256600,_derivationally_related_form,00937656
1804,01256600,_hypernym,01552519
1805,01256743,_derivationally_related_form,00813790
1806,01256743,_derivationally_related_form,02440244
1807,01256743,_hypernym,01256417
1808,01258617,_derivationally_related_form,02472293
1809,01258617,_derivationally_related_form,04726938
1810,01259458,_derivationally_related_form,00377169
1811,01259458,_hypernym,01552519
1812,01259691,_derivationally_related_form,00377169
1813,01260867,_derivationally_related_form,01762528
1814,01260867,_hypernym,00242808
1815,01261490,_derivationally_related_form,00851239
1816,01261490,_derivationally_related_form,01230710
1817,01261490,_hypernym,00242808
1818,01261974,_derivationally_related_form,00770437
1819,01281611,_derivationally_related_form,10140051
1820,01281611,_hypernym,00090708
1821,01284271,_derivationally_related_form,10737431
1822,01284461,_derivationally_related_form,10737431
1823,01284908,_derivationally_related_form,10737431
1824,01284908,_hypernym,00126264
1825,01302019,_verb_group,02450505
1826,01309143,_also_see,01549719
1827,01309143,_hypernym,01555742
1828,01309701,_derivationally_related_form,00941974
1829,01309701,_derivationally_related_form,03996416
1830,01309701,_hypernym,00173338
1831,01311103,_derivationally_related_form,00941974
1832,01311103,_derivationally_related_form,03996416
1833,01311378,_derivationally_related_form,03996416
1834,01313923,_derivationally_related_form,00941974
1835,01313923,_derivationally_related_form,08550076
1836,01316619,_derivationally_related_form,01014990
1837,01322509,_derivationally_related_form,00388065
1838,01322509,_derivationally_related_form,14287113
1839,01322509,_hypernym,01552519
1840,01322675,_derivationally_related_form,00388065
1841,01322675,_derivationally_related_form,10609092
1842,01322675,_derivationally_related_form,14287113
1843,01323449,_derivationally_related_form,00829107
1844,01323449,_derivationally_related_form,00831651
1845,01332730,_derivationally_related_form,02840619
1846,01332730,_derivationally_related_form,03122748
1847,01332730,_derivationally_related_form,04151940
1848,01332730,_verb_group,01207951
1849,01332730,_verb_group,01336635
1850,01335804,_hypernym,01332730
1851,01336635,_derivationally_related_form,04187233
1852,01336635,_derivationally_related_form,04453910
1853,01336635,_verb_group,01332730
1854,01337224,_hypernym,01332730
1855,01345109,_also_see,01347678
1856,01345109,_also_see,01587062
1857,01345109,_derivationally_related_form,00344040
1858,01345109,_derivationally_related_form,01074694
1859,01345109,_derivationally_related_form,04211528
1860,01346003,_derivationally_related_form,00338641
1861,01346003,_derivationally_related_form,00383390
1862,01346003,_derivationally_related_form,10737431
1863,01346804,_hypernym,00146138
1864,01346978,_derivationally_related_form,00344040
1865,01346978,_derivationally_related_form,04211528
1866,01346978,_verb_group,01345109
1867,01350449,_also_see,01281611
1868,01350449,_also_see,01375637
1869,01350449,_also_see,01468058
1870,01350449,_derivationally_related_form,05194578
1871,01350449,_derivationally_related_form,10461424
1872,01350449,_hypernym,02367363
1873,01351170,_hypernym,01350994
1874,01351170,_verb_group,01995211
1875,01352996,_derivationally_related_form,04153751
1876,01352996,_hypernym,02045043
1877,01353169,_derivationally_related_form,04153751
1878,01353169,_hypernym,02045043
1879,01353226,_derivationally_related_form,02713372
1880,01375637,_derivationally_related_form,07436100
1881,01375637,_hypernym,01377032
1882,01377032,_hypernym,01378556
1883,01378556,_also_see,02060141
1884,01378556,_derivationally_related_form,00367976
1885,01378556,_derivationally_related_form,01083077
1886,01378556,_derivationally_related_form,05088324
1887,01380122,_derivationally_related_form,05088324
1888,01380122,_derivationally_related_form,07445896
1889,01380122,_hypernym,01831531
1890,01380638,_derivationally_related_form,01014066
1891,01380638,_derivationally_related_form,01014990
1892,01381549,_hypernym,01380638
1893,01384439,_derivationally_related_form,01014066
1894,01387786,_derivationally_related_form,00113113
1895,01390616,_derivationally_related_form,00113113
1896,01392080,_derivationally_related_form,01896031
1897,01392080,_hypernym,01463963
1898,01400044,_hypernym,01206218
1899,01405044,_derivationally_related_form,00043902
1900,01405044,_derivationally_related_form,00125629
1901,01405044,_derivationally_related_form,10178216
1902,01407904,_derivationally_related_form,00572489
1903,01407904,_hypernym,01405044
1904,01410223,_derivationally_related_form,00125629
1905,01410223,_derivationally_related_form,10178216
1906,01419982,_derivationally_related_form,09870208
1907,01419982,_hypernym,01090335
1908,01420765,_derivationally_related_form,00445802
1909,01420765,_derivationally_related_form,09870208
1910,01420765,_hypernym,01400044
1911,01422886,_derivationally_related_form,03967942
1912,01423285,_derivationally_related_form,00344040
1913,01423285,_derivationally_related_form,01074694
1914,01423285,_hypernym,00261533
1915,01430111,_also_see,01943406
1916,01432353,_derivationally_related_form,05301072
1917,01433294,_derivationally_related_form,00315986
1918,01433294,_hypernym,01435380
1919,01435380,_derivationally_related_form,00315986
1920,01435380,_derivationally_related_form,01105259
1921,01435380,_derivationally_related_form,05250659
1922,01435380,_derivationally_related_form,06259898
1923,01435380,_derivationally_related_form,06260121
1924,01435380,_derivationally_related_form,10578762
1925,01435380,_derivationally_related_form,10724699
1926,01435380,_hypernym,01850315
1927,01437254,_hypernym,01435380
1928,01439190,_also_see,01998793
1929,01439190,_derivationally_related_form,09901143
1930,01439190,_hypernym,01212572
1931,01439190,_verb_group,01082454
1932,01439745,_also_see,02304648
1933,01439745,_hypernym,01212572
1934,01440378,_derivationally_related_form,02982790
1935,01440378,_hypernym,01439190
1936,01440801,_derivationally_related_form,13904843
1937,01440801,_hypernym,01441100
1938,01441100,_hypernym,01227675
1939,01441510,_derivationally_related_form,01173965
1940,01441510,_hypernym,01227675
1941,01447257,_derivationally_related_form,11495041
1942,01447632,_derivationally_related_form,00112312
1943,01447632,_derivationally_related_form,00113113
1944,01447632,_hypernym,01871979
1945,01448100,_also_see,01449053
1946,01448100,_also_see,01505254
1947,01448100,_also_see,01661804
1948,01448100,_derivationally_related_form,00114431
1949,01448100,_derivationally_related_form,00115036
1950,01448100,_derivationally_related_form,00115667
1951,01448100,_derivationally_related_form,11458624
1952,01448100,_hypernym,01850315
1953,01448100,_verb_group,01609287
1954,01448100,_verb_group,02103162
1955,01449053,_hypernym,01448100
1956,01449974,_derivationally_related_form,00315986
1957,01449974,_derivationally_related_form,00318735
1958,01449974,_derivationally_related_form,03100897
1959,01449974,_derivationally_related_form,04474035
1960,01449974,_derivationally_related_form,09897696
1961,01449974,_hypernym,01850315
1962,01449974,_verb_group,01061320
1963,01451842,_hypernym,01449974
1964,01451842,_verb_group,01941093
1965,01452255,_derivationally_related_form,00115036
1966,01454810,_derivationally_related_form,00115036
1967,01457954,_derivationally_related_form,00191980
1968,01457954,_derivationally_related_form,13480667
1969,01460421,_derivationally_related_form,04781755
1970,01462005,_derivationally_related_form,00003553
1971,01462005,_derivationally_related_form,00380083
1972,01462005,_derivationally_related_form,07963987
1973,01462005,_hypernym,00126264
1974,01463963,_derivationally_related_form,10383237
1975,01463963,_hypernym,01494310
1976,01468058,_hypernym,01468576
1977,01468327,_hypernym,01468576
1978,01468327,_verb_group,01468058
1979,01475282,_also_see,00695523
1980,01475282,_also_see,01613463
1981,01475282,_also_see,02451951
1982,01476483,_derivationally_related_form,01074498
1983,01476483,_derivationally_related_form,01074694
1984,01476483,_derivationally_related_form,03840327
1985,01476483,_hypernym,02451370
1986,01478002,_derivationally_related_form,00562398
1987,01478002,_derivationally_related_form,01074694
1988,01478002,_derivationally_related_form,02789271
1989,01478002,_derivationally_related_form,02796412
1990,01478002,_derivationally_related_form,02853218
1991,01478002,_derivationally_related_form,02982790
1992,01478002,_derivationally_related_form,03967942
1993,01478002,_derivationally_related_form,04096848
1994,01478002,_hypernym,01476483
1995,01478002,_verb_group,02145543
1996,01478423,_derivationally_related_form,00344040
1997,01478423,_derivationally_related_form,01074694
1998,01478423,_hypernym,01478002
1999,01479333,_derivationally_related_form,02853449
2000,01494310,_also_see,00742320
2001,01494310,_also_see,01463963
2002,01494310,_derivationally_related_form,08621598
2003,01494310,_hypernym,01850315
2004,01505254,_derivationally_related_form,00114431
2005,01505254,_derivationally_related_form,04019696
2006,01505254,_derivationally_related_form,05850823
2007,01505254,_derivationally_related_form,10032676
2008,01505254,_derivationally_related_form,11498040
2009,01505254,_hypernym,01448100
2010,01505254,_verb_group,01506583
2011,01506157,_derivationally_related_form,00103834
2012,01506157,_derivationally_related_form,00170156
2013,01506157,_derivationally_related_form,00798245
2014,01506157,_derivationally_related_form,00961001
2015,01506157,_derivationally_related_form,00980779
2016,01506157,_derivationally_related_form,07208000
2017,01506157,_hypernym,01871979
2018,01506157,_verb_group,01509584
2019,01506583,_verb_group,01505254
2020,01507143,_also_see,01304716
2021,01507143,_derivationally_related_form,00105479
2022,01507143,_derivationally_related_form,10435988
2023,01508368,_derivationally_related_form,00104539
2024,01508368,_derivationally_related_form,10709529
